Invoice No.,Vendor Name,Address,Phone No,Mail,Date,Item/Material Name,Quantity,Unit,Unit Price,Tax Amount,Total Price,Payment Terms,Status,Due Date
INV000000,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,05-06-2024,Bacon,17,kg,7.52,15.23,143.07,Net 60,Approved,04-08-2024
INV000001,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,30-08-2024,Rice,67,kg,14.68,83.93,1067.49,Net 15,Approved,14-09-2024
INV000002,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,05-11-2024,Banana,147,kg,15.45,262.52,2533.67,Net 60,Approved,04-01-2025
INV000003,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,19-05-2025,Paneer,98,kg,17.33,74.27,1772.61,Net 45,Rejected,03-07-2025
INV000004,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,17-10-2024,Olive Oil,82,liters,15.25,122.1,1372.6,Net 15,Approved,01-11-2024
INV000005,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,06-12-2024,Cream,80,liters,24.11,123.15,2051.95,Net 45,Approved,20-01-2025
INV000006,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,06-02-2025,Yogurt,68,kg,17.8,111.71,1322.11,Net 30,Approved,08-03-2025
INV000007,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,16-12-2024,Banana,15,kg,22.03,8.33,338.78,Net 15,Approved,31-12-2024
INV000008,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,03-04-2024,Coriander,9,grams,18.97,6.14,176.87,Net 45,Approved,18-05-2024
INV000009,MeatMaster Co,"71822 Arroyo Expressway, Allisonchester, IL 71187",3235552290,praviiabi@gmail.com,11-07-2024,Turmeric,66,grams,24.33,104.86,1710.64,Net 60,Approved,09-09-2024
INV000005,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,06-12-2024,Cream,80,liters,24.11,123.15,2051.95,Net 45,Approved,20-01-2025
INV000011,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,19-02-2024,Bell Pepper,108,kg,9.21,87.32,1082,Net 30,Rejected,20-03-2024
INV000012,SpiceHub,"76724 John Points Suite 969, Coxberg, NY 65187",4085559921,praviiabi@gmail.com,19-09-2024,Lettuce,101,kg,16.51,172.43,1839.94,Net 45,Approved,03-11-2024
INV000013,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,17-01-2024,Black Pepper,149,grams,4.75,17.54,725.29,Net 15,Approved,01-02-2024
INV000014,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,01-04-2025,Cream,57,liters,13.37,25.72,787.81,Net 60,Approved,31-05-2025
INV000015,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,06-03-2025,Cumin,138,grams,3.88,13.57,549.01,Net 45,Pending,20-04-2025
INV000016,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,27-06-2024,Turmeric,46,grams,23.88,84.16,1182.64,Net 60,Approved,26-08-2024
INV000017,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,02-04-2025,Carrots,42,kg,24.16,74.34,1089.06,Net 15,Approved,17-04-2025
INV000018,Organic Fruits Co.,"192 Frank Light Suite 835, East Lydiamouth, MO 35594",8185553300,praviiabi@gmail.com,20-06-2024,Flour,37,kg,23.36,102.75,967.07,Net 30,Approved,20-07-2024
